id,finding,title,url,source_name,licence,licence_url,raw_text_path,accessed_date,licence_ok,notes
pleural_effusion_nhlbi,Pleural Effusion,"Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax",https://www.nhlbi.nih.gov/health/pleural-disorders/types,NHLBI / NIH,Public-Domain,https://www.usa.gov/government-copyright,data/kb/raw/pleural_effusion.md,2026-08-22,True,"Used for a short educational summary about pleural effusion definition, pleural-space fluid buildup, common cause categories, symptoms, and why it matters. Did not use the page image because it has a separate copyright notice."
pleural_effusion_wikipedia,Pleural Effusion,Pleural effusion,https://en.wikipedia.org/wiki/Pleural_effusion,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/pleural_effusion.md,2026-08-22,True,"Used for X-ray appearance details, including blunted costophrenic angles, lateral decubitus sensitivity, and air-fluid level when both air and fluid are present."
cardiomegaly_nhlbi,Cardiomegaly,Heart Failure - What Is Heart Failure?,https://www.nhlbi.nih.gov/health/heart-failure,NHLBI / NIH,Public-Domain,https://www.usa.gov/government-copyright,data/kb/raw/cardiomegaly.md,2026-08-22,True,"Used for clinical context about heart failure, reduced pumping function, shortness of breath, fluid buildup, and why cardiac enlargement may matter. This source is broad heart-failure context, not a cardiomegaly-only page."
cardiomegaly_wikipedia,Cardiomegaly,Cardiomegaly,https://en.wikipedia.org/wiki/Cardiomegaly,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/cardiomegaly.md,2026-08-22,True,"Used for definition, common associated causes, and chest X-ray appearance detail including enlarged heart silhouette and cardiothoracic ratio."
atelectasis_wikipedia,Atelectasis,Atelectasis,https://en.wikipedia.org/wiki/Atelectasis,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/atelectasis.md,2026-08-22,True,"Used for definition, partial or total lung collapse concept, common chest X-ray relevance, symptoms, and distinction from pneumothorax."
consolidation_pneumonia_cdc,Consolidation / Pneumonia,About Pneumonia,https://www.cdc.gov/pneumonia/about/index.html,CDC,Public-Domain,https://www.usa.gov/government-copyright,data/kb/raw/consolidation_pneumonia.md,2026-08-22,True,"Used for pneumonia definition, infectious causes, and common symptoms. CDC content is US government public-domain material."
consolidation_pneumonia_wikipedia,Consolidation / Pneumonia,Pulmonary consolidation,https://en.wikipedia.org/wiki/Pulmonary_consolidation,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/consolidation_pneumonia.md,2026-08-22,True,"Used for radiographic consolidation concept: normally air-filled lung tissue filled with liquid/exudate and appearing as opacity on chest X-ray."
edema_wikipedia,Edema,Pulmonary edema,https://en.wikipedia.org/wiki/Pulmonary_edema,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/edema.md,2026-08-22,True,"Used for pulmonary edema definition and chest X-ray appearance details, including Kerley B lines, vascular shadowing, batwing perihilar pattern, upper-lobe diversion, and possible pleural effusions."
pneumothorax_nhlbi,Pneumothorax,"Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax",https://www.nhlbi.nih.gov/health/pleural-disorders/types,NHLBI / NIH,Public-Domain,https://www.usa.gov/government-copyright,data/kb/raw/pneumothorax.md,2026-08-22,True,"Used for pneumothorax definition as air or gas in the pleural space, lung-collapse effect, and basic types including spontaneous, tension, and traumatic pneumothorax."
pneumothorax_wikipedia,Pneumothorax,Pneumothorax,https://en.wikipedia.org/wiki/Pneumothorax,Wikipedia,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,data/kb/raw/pneumothorax.md,2026-08-22,True,"Used for diagnostic/imaging context, including chest X-ray, ultrasound, CT, and tension pneumothorax relevance."
