query_id,query,expected_finding,scope,rank,chunk_id,text,finding,score,distance,provider,source_ids,source_titles,source_urls,licences
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,1,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.6985428333282471,0.30145716667175293,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,2,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.6377245783805847,0.3622754216194153,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,3,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.5482137203216553,0.4517862796783447,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,4,edema_001,"Pulmonary edema can cause shortness of breath, cough, low oxygen, and respiratory distress. The cause cannot be decided from the chest X-ray alone, but the imaging pattern can help suggest whether edema is present and whether the distribution looks more typical of cardiogenic or noncardiogenic edema. On chest X-ray, pulmonary edema may show increased vascular markings, Kerley B lines, perihilar or batwing air-space opacity, upper-lobe vascular redistribution, and sometimes pleural effusions. Patchier alveolar opacities may be seen in noncardiogenic edema or other lung injury patterns.",Edema,0.5199283361434937,0.48007166385650635,openai,['edema_wikipedia'],['Pulmonary edema'],['https://en.wikipedia.org/wiki/Pulmonary_edema'],['CC-BY-SA-4.0']
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,5,pleural_effusion_002,"On chest X-ray, pleural effusion is usually considered when there is abnormal fluid at the lung base or in the pleural space. It may appear with blunting of the costophrenic angle, dependent layering fluid, or a horizontal air-fluid level if both air and fluid are present. Lateral decubitus views can show smaller amounts of fluid than an upright chest X-ray. Pleural effusion matters because it can reduce lung expansion and may be associated with shortness of breath, chest pain, or cough.",Pleural Effusion,0.49569034576416016,0.5043096542358398,openai,"['pleural_effusion_nhlbi', 'pleural_effusion_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pleural effusion']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pleural_effusion']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,1,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.3369988799095154,0.6630011200904846,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,2,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.312630832195282,0.687369167804718,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,3,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.2567185163497925,0.7432814836502075,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,4,atelectasis_002,"Depending on the location, this may include crowding of nearby structures, elevation of the diaphragm, shift of fissures, or movement of the mediastinum toward the affected side. Atelectasis should be described as an imaging finding and interpreted with the clinical situation. A report should avoid assuming the exact cause unless the image or history clearly supports it.",Atelectasis,0.21285921335220337,0.7871407866477966,openai,['atelectasis_wikipedia'],['Atelectasis'],['https://en.wikipedia.org/wiki/Atelectasis'],['CC-BY-SA-4.0']
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,5,consolidation_pneumonia_003,The report should describe the opacity pattern and avoid claiming the organism or exact diagnosis from the X-ray alone.,Consolidation / Pneumonia,0.2123611569404602,0.7876388430595398,openai,"['consolidation_pneumonia_cdc', 'consolidation_pneumonia_wikipedia']","['About Pneumonia', 'Pulmonary consolidation']","['https://www.cdc.gov/pneumonia/about/index.html', 'https://en.wikipedia.org/wiki/Pulmonary_consolidation']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,in_scope,1,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.5878262519836426,0.4121737480163574,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,in_scope,2,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.5118328332901001,0.4881671667098999,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,in_scope,3,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.41612303256988525,0.5838769674301147,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,in_scope,4,pneumothorax_002,"Tension physiology may be suggested by mediastinal shift or other signs of pressure effect, but clinical urgency should not wait for perfect imaging wording. Pneumothorax is an important finding because it can explain sudden chest pain or shortness of breath and may require urgent action. A report should clearly describe the side and approximate size when visible.",Pneumothorax,0.3999481201171875,0.6000518798828125,openai,"['pneumothorax_nhlbi', 'pneumothorax_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pneumothorax']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pneumothorax']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,in_scope,5,pneumothorax_001,"A tension pneumothorax is especially important because pressure can build up enough to affect the heart, lungs, blood flow, and blood pressure. On chest X-ray, pneumothorax is usually considered when a visible pleural line separates the collapsed lung edge from the chest wall, with absent lung markings beyond that line. Larger cases may show a more obvious collapsed lung. Tension physiology may be suggested by mediastinal shift or other signs of pressure effect, but clinical urgency should not wait for perfect imaging wording.",Pneumothorax,0.3991866111755371,0.6008133888244629,openai,"['pneumothorax_nhlbi', 'pneumothorax_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pneumothorax']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pneumothorax']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,in_scope,1,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.5766936540603638,0.42330634593963623,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,in_scope,2,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.4684414863586426,0.5315585136413574,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,in_scope,3,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.40083253383636475,0.5991674661636353,openai,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,in_scope,4,edema_002,"Patchier alveolar opacities may be seen in noncardiogenic edema or other lung injury patterns. A report should describe the imaging pattern carefully, such as vascular congestion or pulmonary edema pattern, and should not overstate the underlying cause without clinical support.",Edema,0.37435269355773926,0.6256473064422607,openai,['edema_wikipedia'],['Pulmonary edema'],['https://en.wikipedia.org/wiki/Pulmonary_edema'],['CC-BY-SA-4.0']
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,in_scope,5,pneumothorax_002,"Tension physiology may be suggested by mediastinal shift or other signs of pressure effect, but clinical urgency should not wait for perfect imaging wording. Pneumothorax is an important finding because it can explain sudden chest pain or shortness of breath and may require urgent action. A report should clearly describe the side and approximate size when visible.",Pneumothorax,0.35471975803375244,0.6452802419662476,openai,"['pneumothorax_nhlbi', 'pneumothorax_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pneumothorax']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pneumothorax']","['Public-Domain', 'CC-BY-SA-4.0']"
atel_01,volume loss in part of the lung,Atelectasis,in_scope,1,atelectasis_000,"Atelectasis means part or all of a lung is not fully expanded because the air spaces have collapsed or lost volume. It can involve a small region, a lobe, or a larger part of the lung. It is different from consolidation because atelectasis is mainly a loss of air and volume, while consolidation means air spaces are filled with material such as fluid or inflammatory exudate. Atelectasis can happen for several reasons, including airway blockage, compression from nearby fluid or air, shallow breathing, or postoperative changes.",Atelectasis,0.5399797558784485,0.4600202441215515,openai,['atelectasis_wikipedia'],['Atelectasis'],['https://en.wikipedia.org/wiki/Atelectasis'],['CC-BY-SA-4.0']
atel_01,volume loss in part of the lung,Atelectasis,in_scope,2,consolidation_pneumonia_002,"It may look denser or whiter than normal aerated lung. In pneumonia, the opacity may match the infected region, and air bronchograms can sometimes be seen when air-filled bronchi remain visible within surrounding opacified lung. Consolidation should be described as an imaging pattern and interpreted with symptoms, history, and other clinical information. The report should describe the opacity pattern and avoid claiming the organism or exact diagnosis from the X-ray alone.",Consolidation / Pneumonia,0.47025060653686523,0.5297493934631348,openai,"['consolidation_pneumonia_cdc', 'consolidation_pneumonia_wikipedia']","['About Pneumonia', 'Pulmonary consolidation']","['https://www.cdc.gov/pneumonia/about/index.html', 'https://en.wikipedia.org/wiki/Pulmonary_consolidation']","['Public-Domain', 'CC-BY-SA-4.0']"
atel_01,volume loss in part of the lung,Atelectasis,in_scope,3,atelectasis_001,"Atelectasis can happen for several reasons, including airway blockage, compression from nearby fluid or air, shallow breathing, or postoperative changes. Small areas may cause few symptoms, while larger areas can be associated with shortness of breath, faster breathing, low oxygen, or reduced movement on the affected side. On chest X-ray, atelectasis is often considered when there is increased opacity together with signs of volume loss. Depending on the location, this may include crowding of nearby structures, elevation of the diaphragm, shift of fissures, or movement of the mediastinum toward the affected side.",Atelectasis,0.45864713191986084,0.5413528680801392,openai,['atelectasis_wikipedia'],['Atelectasis'],['https://en.wikipedia.org/wiki/Atelectasis'],['CC-BY-SA-4.0']
atel_01,volume loss in part of the lung,Atelectasis,in_scope,4,pneumothorax_000,"Pneumothorax means air or gas has collected in the pleural space, the space between the lung and chest wall. This air can put pressure on the lung and may cause part or all of it to collapse. Pneumothorax can happen spontaneously, after trauma, or in people with underlying lung disease. A tension pneumothorax is especially important because pressure can build up enough to affect the heart, lungs, blood flow, and blood pressure.",Pneumothorax,0.44756007194519043,0.5524399280548096,openai,"['pneumothorax_nhlbi', 'pneumothorax_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pneumothorax']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pneumothorax']","['Public-Domain', 'CC-BY-SA-4.0']"
atel_01,volume loss in part of the lung,Atelectasis,in_scope,5,edema_002,"Patchier alveolar opacities may be seen in noncardiogenic edema or other lung injury patterns. A report should describe the imaging pattern carefully, such as vascular congestion or pulmonary edema pattern, and should not overstate the underlying cause without clinical support.",Edema,0.43307411670684814,0.5669258832931519,openai,['edema_wikipedia'],['Pulmonary edema'],['https://en.wikipedia.org/wiki/Pulmonary_edema'],['CC-BY-SA-4.0']
atel_02,collapsed air spaces with elevated diaphragm,Atelectasis,in_scope,1,atelectasis_002,"Depending on the location, this may include crowding of nearby structures, elevation of the diaphragm, shift of fissures, or movement of the mediastinum toward the affected side. Atelectasis should be described as an imaging finding and interpreted with the clinical situation. A report should avoid assuming the exact cause unless the image or history clearly supports it.",Atelectasis,0.5403683185577393,0.45963168144226074,openai,['atelectasis_wikipedia'],['Atelectasis'],['https://en.wikipedia.org/wiki/Atelectasis'],['CC-BY-SA-4.0']
atel_02,collapsed air spaces with elevated diaphragm,Atelectasis,in_scope,2,atelectasis_001,"Atelectasis can happen for several reasons, including airway blockage, compression from nearby fluid or air, shallow breathing, or postoperative changes. Small areas may cause few symptoms, while larger areas can be associated with shortness of breath, faster breathing, low oxygen, or reduced movement on the affected side. On chest X-ray, atelectasis is often considered when there is increased opacity together with signs of volume loss. Depending on the location, this may include crowding of nearby structures, elevation of the diaphragm, shift of fissures, or movement of the mediastinum toward the affected side.",Atelectasis,0.46114790439605713,0.5388520956039429,openai,['atelectasis_wikipedia'],['Atelectasis'],['https://en.wikipedia.org/wiki/Atelectasis'],['CC-BY-SA-4.0']
atel_02,collapsed air spaces with elevated diaphragm,Atelectasis,in_scope,3,pneumothorax_000,"Pneumothorax means air or gas has collected in the pleural space, the space between the lung and chest wall. This air can put pressure on the lung and may cause part or all of it to collapse. Pneumothorax can happen spontaneously, after trauma, or in people with underlying lung disease. A tension pneumothorax is especially important because pressure can build up enough to affect the heart, lungs, blood flow, and blood pressure.",Pneumothorax,0.4084768295288086,0.5915231704711914,openai,"['pneumothorax_nhlbi', 'pneumothorax_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pneumothorax']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pneumothorax']","['Public-Domain', 'CC-BY-SA-4.0']"
