query_id,query,expected_finding,scope,rank,chunk_id,text,finding,score,distance,provider,source_ids,source_titles,source_urls,licences
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,1,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.7499260902404785,0.2500739097595215,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,2,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.6220501065254211,0.37794989347457886,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,3,pleural_effusion_003,"Pleural effusion matters because it can reduce lung expansion and may be associated with shortness of breath, chest pain, or cough. The report should describe the imaging finding carefully without pretending to know the exact cause from the X-ray alone.",Pleural Effusion,0.5621813535690308,0.43781864643096924,local,"['pleural_effusion_nhlbi', 'pleural_effusion_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pleural effusion']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pleural_effusion']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,4,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.5542470216751099,0.44575297832489014,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,in_scope,5,pleural_effusion_002,"On chest X-ray, pleural effusion is usually considered when there is abnormal fluid at the lung base or in the pleural space. It may appear with blunting of the costophrenic angle, dependent layering fluid, or a horizontal air-fluid level if both air and fluid are present. Lateral decubitus views can show smaller amounts of fluid than an upright chest X-ray. Pleural effusion matters because it can reduce lung expansion and may be associated with shortness of breath, chest pain, or cough.",Pleural Effusion,0.5379673838615417,0.46203261613845825,local,"['pleural_effusion_nhlbi', 'pleural_effusion_wikipedia']","['Pleural Disorders - Pleurisy, Pleural Effusion, and Pneumothorax', 'Pleural effusion']","['https://www.nhlbi.nih.gov/health/pleural-disorders/types', 'https://en.wikipedia.org/wiki/Pleural_effusion']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,1,cardiomegaly_001,"The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally. Heart failure can cause symptoms such as tiredness, shortness of breath, and fluid buildup in the body, although the exact cause cannot be decided from a chest X-ray alone. On a chest X-ray, cardiomegaly is usually considered when the cardiac silhouette is larger than expected compared with the chest. A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement.",Cardiomegaly,0.4892681837081909,0.5107318162918091,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,2,cardiomegaly_000,"Cardiomegaly means the heart appears enlarged. It is not a single disease by itself; it is a finding that can happen when the heart has changed because of another condition. Common associated problems can include high blood pressure, heart valve disease, coronary artery disease, cardiomyopathy, or heart failure. The finding matters because an enlarged cardiac silhouette can be a clue that the heart is under strain or not pumping normally.",Cardiomegaly,0.4467114210128784,0.5532885789871216,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,3,cardiomegaly_002,"A common measurement is the cardiothoracic ratio on a PA chest radiograph; a ratio above about 50 percent can suggest enlargement. Portable AP views can exaggerate heart size, so the report should describe the finding carefully and consider image technique. Cardiomegaly should be reported as an imaging observation, not as a full diagnosis. Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.3902691602706909,0.6097308397293091,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,4,cardiomegaly_003,"Follow-up with clinical history, prior imaging, echocardiography, or other tests may be needed to understand the cause.",Cardiomegaly,0.2669498920440674,0.7330501079559326,local,"['cardiomegaly_nhlbi', 'cardiomegaly_wikipedia']","['Heart Failure - What Is Heart Failure?', 'Cardiomegaly']","['https://www.nhlbi.nih.gov/health/heart-failure', 'https://en.wikipedia.org/wiki/Cardiomegaly']","['Public-Domain', 'CC-BY-SA-4.0']"
cardio_02,heart shadow is too large,Cardiomegaly,in_scope,5,edema_001,"Pulmonary edema can cause shortness of breath, cough, low oxygen, and respiratory distress. The cause cannot be decided from the chest X-ray alone, but the imaging pattern can help suggest whether edema is present and whether the distribution looks more typical of cardiogenic or noncardiogenic edema. On chest X-ray, pulmonary edema may show increased vascular markings, Kerley B lines, perihilar or batwing air-space opacity, upper-lobe vascular redistribution, and sometimes pleural effusions. Patchier alveolar opacities may be seen in noncardiogenic edema or other lung injury patterns.",Edema,0.24289357662200928,0.7571064233779907,local,['edema_wikipedia'],['Pulmonary edema'],['https://en.wikipedia.org/wiki/Pulmonary_edema'],['CC-BY-SA-4.0']
