query_id,query,expected_finding,top1_finding,first_correct_rank,top5_findings
atel_01,volume loss in part of the lung,Atelectasis,Atelectasis,1.0,"['Atelectasis', 'Consolidation / Pneumonia', 'Atelectasis', 'Pneumothorax', 'Edema']"
atel_02,collapsed air spaces with elevated diaphragm,Atelectasis,Atelectasis,1.0,"['Atelectasis', 'Atelectasis', 'Pneumothorax', 'Atelectasis', 'Pleural Effusion']"
atel_03,linear opacity from subsegmental collapse,Atelectasis,Consolidation / Pneumonia,3.0,"['Consolidation / Pneumonia', 'Edema', 'Atelectasis', 'Consolidation / Pneumonia', 'Atelectasis']"
atel_04,loss of air and reduced lung volume,Atelectasis,Atelectasis,1.0,"['Atelectasis', 'Atelectasis', 'Consolidation / Pneumonia', 'Pneumothorax', 'Atelectasis']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Edema', 'Pleural Effusion']"
cardio_02,heart shadow is too large,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Atelectasis', 'Consolidation / Pneumonia']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Pneumothorax', 'Pneumothorax']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Edema', 'Pneumothorax']"
cons_01,air spaces filled with inflammatory material,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Edema', 'Consolidation / Pneumonia', 'Atelectasis', 'Pleural Effusion']"
cons_02,pneumonia causing dense white opacity,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Edema', 'Atelectasis']"
cons_03,air bronchograms inside an opacity,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Edema', 'Atelectasis', 'Consolidation / Pneumonia', 'Atelectasis']"
cons_04,alveoli are filled instead of air filled,Consolidation / Pneumonia,Edema,3.0,"['Edema', 'Atelectasis', 'Consolidation / Pneumonia', 'Pleural Effusion', 'Atelectasis']"
edema_01,fluid buildup inside the lungs,Edema,Pleural Effusion,,"['Pleural Effusion', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Pleural Effusion']"
edema_02,bat wing opacities and Kerley B lines,Edema,Edema,1.0,"['Edema', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Edema', 'Atelectasis']"
edema_03,vascular redistribution with pulmonary edema,Edema,Edema,1.0,"['Edema', 'Edema', 'Edema', 'Pleural Effusion', 'Pleural Effusion']"
edema_04,heart failure causing lung fluid,Edema,Edema,1.0,"['Edema', 'Cardiomegaly', 'Edema', 'Pleural Effusion', 'Pleural Effusion']"
eff_01,fluid around the lung,Pleural Effusion,Pleural Effusion,1.0,"['Pleural Effusion', 'Consolidation / Pneumonia', 'Pleural Effusion', 'Consolidation / Pneumonia', 'Edema']"
eff_02,blunting of the costophrenic angle,Pleural Effusion,Atelectasis,2.0,"['Atelectasis', 'Pleural Effusion', 'Pneumothorax', 'Atelectasis', 'Pleural Effusion']"
eff_03,meniscus sign at the lung base,Pleural Effusion,Edema,4.0,"['Edema', 'Atelectasis', 'Pneumothorax', 'Pleural Effusion', 'Atelectasis']"
eff_04,extra fluid in the pleural space,Pleural Effusion,Pleural Effusion,1.0,"['Pleural Effusion', 'Pleural Effusion', 'Pleural Effusion', 'Pleural Effusion', 'Pneumothorax']"
ptx_01,air in the pleural space,Pneumothorax,Pleural Effusion,2.0,"['Pleural Effusion', 'Pneumothorax', 'Pleural Effusion', 'Pleural Effusion', 'Atelectasis']"
ptx_02,visible pleural line with no lung markings beyond it,Pneumothorax,Pneumothorax,1.0,"['Pneumothorax', 'Consolidation / Pneumonia', 'Pleural Effusion', 'Edema', 'Pleural Effusion']"
ptx_03,collapsed lung from air outside the lung,Pneumothorax,Atelectasis,2.0,"['Atelectasis', 'Pneumothorax', 'Atelectasis', 'Pneumothorax', 'Consolidation / Pneumonia']"
ptx_04,tension pneumothorax is an emergency,Pneumothorax,Pneumothorax,1.0,"['Pneumothorax', 'Pneumothorax', 'Pneumothorax', 'Pleural Effusion', 'Consolidation / Pneumonia']"
