query_id,query,expected_finding,top1_finding,first_correct_rank,top5_findings
atel_01,volume loss in part of the lung,Atelectasis,Atelectasis,1.0,"['Atelectasis', 'Atelectasis', 'Edema', 'Pleural Effusion', 'Edema']"
atel_02,collapsed air spaces with elevated diaphragm,Atelectasis,Atelectasis,1.0,"['Atelectasis', 'Pneumothorax', 'Atelectasis', 'Consolidation / Pneumonia', 'Atelectasis']"
atel_03,linear opacity from subsegmental collapse,Atelectasis,Consolidation / Pneumonia,5.0,"['Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Edema', 'Atelectasis']"
atel_04,loss of air and reduced lung volume,Atelectasis,Edema,2.0,"['Edema', 'Atelectasis', 'Atelectasis', 'Edema', 'Pneumothorax']"
cardio_01,enlarged heart on chest x ray,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Pleural Effusion', 'Cardiomegaly', 'Pleural Effusion']"
cardio_02,heart shadow is too large,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Edema']"
cardio_03,cardiothoracic ratio greater than fifty percent,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Pneumothorax']"
cardio_04,portable AP film makes the heart look enlarged,Cardiomegaly,Cardiomegaly,1.0,"['Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Cardiomegaly', 'Atelectasis']"
cons_01,air spaces filled with inflammatory material,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Atelectasis', 'Pneumothorax', 'Edema']"
cons_02,pneumonia causing dense white opacity,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Edema', 'Consolidation / Pneumonia']"
cons_03,air bronchograms inside an opacity,Consolidation / Pneumonia,Consolidation / Pneumonia,1.0,"['Consolidation / Pneumonia', 'Atelectasis', 'Consolidation / Pneumonia', 'Edema', 'Atelectasis']"
cons_04,alveoli are filled instead of air filled,Consolidation / Pneumonia,Atelectasis,,"['Atelectasis', 'Atelectasis', 'Edema', 'Edema', 'Pleural Effusion']"
edema_01,fluid buildup inside the lungs,Edema,Pleural Effusion,2.0,"['Pleural Effusion', 'Edema', 'Pleural Effusion', 'Consolidation / Pneumonia', 'Pneumothorax']"
edema_02,bat wing opacities and Kerley B lines,Edema,Consolidation / Pneumonia,3.0,"['Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Edema', 'Pneumothorax', 'Edema']"
edema_03,vascular redistribution with pulmonary edema,Edema,Edema,1.0,"['Edema', 'Edema', 'Edema', 'Pleural Effusion', 'Atelectasis']"
edema_04,heart failure causing lung fluid,Edema,Edema,1.0,"['Edema', 'Pleural Effusion', 'Edema', 'Pleural Effusion', 'Pleural Effusion']"
eff_01,fluid around the lung,Pleural Effusion,Pleural Effusion,1.0,"['Pleural Effusion', 'Edema', 'Pleural Effusion', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia']"
eff_02,blunting of the costophrenic angle,Pleural Effusion,Pneumothorax,3.0,"['Pneumothorax', 'Pneumothorax', 'Pleural Effusion', 'Edema', 'Consolidation / Pneumonia']"
eff_03,meniscus sign at the lung base,Pleural Effusion,Pleural Effusion,1.0,"['Pleural Effusion', 'Edema', 'Consolidation / Pneumonia', 'Pleural Effusion', 'Edema']"
eff_04,extra fluid in the pleural space,Pleural Effusion,Pleural Effusion,1.0,"['Pleural Effusion', 'Pleural Effusion', 'Pleural Effusion', 'Pneumothorax', 'Pneumothorax']"
ptx_01,air in the pleural space,Pneumothorax,Pneumothorax,1.0,"['Pneumothorax', 'Pleural Effusion', 'Pleural Effusion', 'Pleural Effusion', 'Pneumothorax']"
ptx_02,visible pleural line with no lung markings beyond it,Pneumothorax,Pleural Effusion,3.0,"['Pleural Effusion', 'Pleural Effusion', 'Pneumothorax', 'Edema', 'Pleural Effusion']"
ptx_03,collapsed lung from air outside the lung,Pneumothorax,Pneumothorax,1.0,"['Pneumothorax', 'Atelectasis', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia', 'Consolidation / Pneumonia']"
ptx_04,tension pneumothorax is an emergency,Pneumothorax,Pneumothorax,1.0,"['Pneumothorax', 'Pneumothorax', 'Pneumothorax', 'Pleural Effusion', 'Pleural Effusion']"
